Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4.25,Trader2,Tick,41,40,1,-1,146800,146900,-309,-4691,-4791,OK
4.516,TraderOne,Tick,47,40,7,-7,146800,146900,-397,-8903,-9603,OK
4.516,Trader1,Tick,10,10,0,0,146800,146900,589,4411,4411,OK
4.516,Trader2,Tick,41,40,1,-1,146800,146900,-309,-4691,-4791,OK
4.797,TraderOne,Tick,57,40,17,-17,146800,146900,-544,-9756,-11456,OK
4.797,Trader1,Tick,10,10,0,0,146800,146900,589,4411,4411,OK
4.797,Trader2,Tick,50,40,10,-10,146800,146900,-441,-4559,-5559,OK
4.985,TraderOne,Tick,57,40,17,-17,146800,146900,-544,-9756,-11456,OK
4.985,Trader1,Tick,10,10,0,0,146800,146900,589,4411,4411,OK
4.985,Trader2,Tick,50,40,10,-10,146800,146900,-441,-4559,-5559,OK
5.235,TraderOne,Tick,57,40,17,-17,146800,146800,-544,-9756,-9756,OK
5.235,Trader1,Tick,10,10,0,0,146800,146800,589,4411,4411,OK
5.235,Trader2,Tick,50,40,10,-10,146800,146800,-441,-4559,-4559,OK
5.454,TraderOne,Tick,57,60,-3,3,146700,146800,-398,-15902,-15602,OK
5.454,Trader1,Tick,20,10,10,0,146700,146800,882,-1462882,4118,OK
5.454,Trader2,Tick,60,40,20,-20,146700,146800,-588,-3412,-5412,OK
5.797,TraderOne,Tick,57,70,-13,13,147000,146800,-545,-15755,-18355,OK
5.797,Trader1,Tick,30,10,20,0,147000,146800,1176,-2932176,7824,OK
5.797,Trader2,Tick,60,60,0,0,147000,146800,-882,-6118,-6118,OK
6.016,TraderOne,Tick,67,70,-3,3,147200,146800,-251,-20049,-20649,OK
6.016,Trader1,Tick,30,10,20,0,147200,146800,1176,-2932176,7824,OK
6.016,Trader2,Tick,60,70,-10,10,147200,146800,-588,-6412,-8412,OK
6.266,TraderOne,Tick,67,70,-3,3,147000,146800,-251,-20049,-20649,OK
6.266,Trader1,Tick,30,10,20,0,147000,146800,1176,-2932176,7824,OK
6.266,Trader2,Tick,60,80,-20,20,147000,146800,-294,-5706,-9706,OK
6.454,TraderOne,Tick,87,70,17,-17,147200,146800,-104,-33196,-29796,OK
6.454,Trader1,Tick,30,10,20,0,147200,146800,1176,-2932176,7824,OK
6.454,Trader2,Tick,60,90,-30,30,147200,146800,0,-2000,-8000,OK
6.813,TraderOne,Tick,87,80,7,-7,147200,146700,-251,-29049,-27649,OK
6.813,Trader1,Tick,30,10,20,0,147200,146700,1176,-2932176,5824,OK
6.813,Trader2,Tick,60,100,-40,40,147200,146700,294,706,-7294,OK
6.969,TraderOne,Tick,87,80,7,-7,147200,146900,-251,-29049,-27649,OK
6.969,Trader1,Tick,30,10,20,0,147200,146900,1176,-2932176,9824,OK
6.969,Trader2,Tick,60,100,-40,40,147200,146900,294,706,-7294,OK
7.204,TraderOne,Tick,87,80,7,-7,147300,146900,-251,-29049,-27649,OK
7.204,Trader1,Tick,30,10,20,0,147300,146900,1176,-2932176,9824,OK
7.204,Trader2,Tick,70,100,-30,30,147300,146900,589,-3589,-9589,OK
7.5,TraderOne,Tick,87,80,7,-7,147300,146900,-251,-29049,-27649,OK
7.5,Trader1,Tick,30,10,20,0,147300,146900,1176,-2932176,9824,OK
7.5,Trader2,Tick,70,100,-30,30,147300,146900,589,-3589,-9589,OK
7.766,TraderOne,Tick,87,80,7,-7,147300,146900,-251,-29049,-27649,OK
7.766,Trader1,Tick,30,10,20,0,147300,146900,1176,-2932176,9824,OK
7.766,Trader2,Tick,70,100,-30,30,147300,146900,589,-3589,-9589,OK
8.016,TraderOne,Tick,87,80,7,-7,147300,146900,-251,-29049,-27649,OK
8.016,Trader1,Tick,30,10,20,0,147300,146900,1176,-2932176,9824,OK
8.016,Trader2,Tick,70,100,-30,30,147300,146900,589,-3589,-9589,OK
8.297,TraderOne,Tick,97,80,17,-17,147000,146900,-398,-31902,-30202,OK
8.297,Trader1,Tick,30,10,20,0,147000,146900,1176,-2932176,7824,OK
8.297,Trader2,Tick,80,100,-20,20,147000,146900,442,-6442,-8442,OK
8.5,TraderOne,Tick,97,80,17,-17,147000,146900,-398,-31902,-30202,OK
8.5,Trader1,Tick,30,10,20,0,147000,146900,1176,-2932176,7824,OK
8.5,Trader2,Tick,80,100,-20,20,147000,146900,442,-6442,-8442,OK
8.719,TraderOne,Tick,97,80,17,-17,147000,146900,-398,-31902,-30202,OK
8.719,Trader1,Tick,30,10,20,0,147000,146900,1176,-2932176,7824,OK
8.719,Trader2,Tick,80,100,-20,20,147000,146900,442,-6442,-8442,OK
8.954,TraderOne,Tick,107,90,17,-17,146700,146900,-251,-33049,-36449,OK
8.954,Trader1,Tick,30,10,20,0,146700,146900,1176,-2932176,1824,OK
8.954,Trader2,Tick,90,100,-10,10,146700,146900,295,-8295,-6295,OK
9.266,TraderOne,Tick,107,100,7,-7,146300,146900,-397,-38903,-40303,OK
9.266,Trader1,Tick,40,10,30,0,146300,146900,1469,-4395469,5531,OK
9.266,Trader2,Tick,100,100,0,0,146300,146900,588,-5588,-5588,OK
9.532,TraderOne,Tick,107,100,7,-7,146400,146900,-397,-38903,-40303,OK
9.532,Trader1,Tick,60,10,50,0,146400,146900,2055,-7324055,10945,OK
9.532,Trader2,Tick,110,100,10,-10,146400,146900,881,-2881,-4881,OK
9.782,TraderOne,Tick,107,100,7,-7,146400,146900,-397,-38903,-40303,OK
9.782,Trader1,Tick,80,10,70,0,146400,146900,2641,-10252641,16359,OK
9.782,Trader2,Tick,120,100,20,-20,146400,146900,1174,-1174,-5174,OK
10.032,TraderOne,Tick,107,100,7,-7,146400,146900,-397,-38903,-40303,OK
10.032,Trader1,Tick,100,10,90,0,146400,146900,3227,-13181227,21773,OK
10.032,Trader2,Tick,120,100,20,-20,146400,146900,1174,-1174,-5174,OK
10.297,TraderOne,Tick,107,110,-3,3,146400,146900,-543,-42757,-42157,OK
10.297,Trader1,Tick,110,10,100,0,146400,146900,3520,-14645520,24480,OK
10.297,Trader2,Tick,120,100,20,-20,146400,146900,1174,-1174,-5174,OK
10.313,Trader1,Breach,120,10,110,0,146400,146900,3813,-16111813,25187,
10.313,Trader1,Disconnect,120,10,110,0,146600,146900,3813,-16111813,25187,
10.469,TraderOne,Tick,107,110,-3,3,146600,146900,-543,-42757,-42157,OK
10.469,Trader1,Tick,120,10,110,0,146600,146900,3813,-16111813,25187,BREACH
10.469,Trader2,Tick,120,110,10,-10,146600,146900,1027,-4027,-6027,OK
10.782,TraderOne,Tick,117,120,-3,3,146200,147000,-837,-42463,-41863,OK
10.782,Trader1,Tick,120,10,110,0,146200,147000,3813,-16111813,36187,BREACH
10.782,Trader2,Tick,130,110,20,-20,146200,147000,1320,-3320,-7320,OK
10.954,TraderOne,Tick,117,130,-13,13,147300,147000,-984,-46316,-48916,OK
10.954,Trader1,Tick,120,10,110,0,147300,147000,3813,-16111813,80187,BREACH
10.954,Trader2,Tick,130,120,10,-10,147300,147000,1173,-7173,-5173,OK
11.266,TraderOne,Tick,117,140,-23,23,146900,147000,-1131,-49169,-46869,OK
11.266,Trader1,Tick,120,10,110,0,146900,147000,3813,-16111813,47187,BREACH
11.266,Trader2,Tick,140,120,20,-20,146900,147000,1467,-6467,-8467,OK
11.516,TraderOne,Tick,137,140,-3,3,147300,147000,-983,-52317,-52917,OK
11.516,Trader1,Tick,120,10,110,0,147300,147000,3813,-16111813,80187,BREACH
11.516,Trader2,Tick,140,130,10,-10,147300,147000,1761,-8761,-6761,OK
11.704,TraderOne,Tick,137,140,-3,3,147300,147200,-983,-52317,-52617,OK
11.704,Trader1,Tick,120,10,110,0,147300,147200,3813,-16111813,91187,BREACH
11.704,Trader2,Tick,140,130,10,-10,147300,147200,1761,-8761,-7761,OK
12.016,TraderOne,Tick,137,150,-13,13,147400,147200,-1130,-51170,-53770,OK
12.016,Trader1,Tick,120,10,110,0,147400,147200,3813,-16111813,102187,BREACH
12.016,Trader2,Tick,140,140,0,0,147400,147200,1614,-7614,-7614,OK
12.282,TraderOne,Tick,147,150,-3,3,147200,147200,-836,-54464,-54464,OK
12.282,Trader1,Tick,120,10,110,0,147200,147200,3813,-16111813,80187,BREACH
12.282,Trader2,Tick,140,150,-10,10,147200,147200,1467,-6467,-6467,OK
12.485,TraderOne,Tick,147,150,-3,3,147200,147200,-836,-54464,-54464,OK
12.485,Trader1,Tick,120,10,110,0,147200,147200,3813,-16111813,80187,BREACH
12.485,Trader2,Tick,140,150,-10,10,147200,147200,1467,-6467,-6467,OK
12.797,TraderOne,Tick,147,150,-3,3,147200,147200,-836,-54464,-54464,OK
12.797,Trader1,Tick,120,10,110,0,147200,147200,3813,-16111813,80187,BREACH
12.797,Trader2,Tick,140,150,-10,10,147200,147200,1467,-6467,-6467,OK
13.032,TraderOne,Tick,157,150,7,-7,147200,147200,-542,-57758,-57758,OK
13.032,Trader1,Tick,120,10,110,0,147200,147200,3813,-16111813,80187,BREACH
13.032,Trader2,Tick,140,160,-20,20,147200,147200,1320,-5320,-5320,OK
13.266,TraderOne,Tick,167,150,17,-17,146700,147200,-689,-58611,-62011,OK
13.266,Trader1,Tick,120,10,110,0,146700,147200,3813,-16111813,58187,BREACH
13.266,Trader2,Tick,150,160,-10,10,146700,147200,1173,-7173,-5173,OK
13.469,TraderOne,Tick,167,150,17,-17,146700,147200,-689,-58611,-62011,OK
13.469,Trader1,Tick,120,10,110,0,146700,147200,3813,-16111813,58187,BREACH
13.469,Trader2,Tick,150,160,-10,10,146700,147200,1173,-7173,-5173,OK
13.75,TraderOne,Tick,167,150,17,-17,147000,147200,-689,-58611,-62011,OK
13.75,Trader1,Tick,120,10,110,0,147000,147200,3813,-16111813,58187,BREACH
13.75,Trader2,Tick,160,160,0,0,147000,147200,1026,-9026,-9026,OK
14.047,TraderOne,Tick,167,150,17,-17,147000,147200,-689,-58611,-62011,OK
14.047,Trader1,Tick,120,10,110,0,147000,147200,3813,-16111813,58187,BREACH
14.047,Trader2,Tick,160,160,0,0,147000,147200,1026,-9026,-9026,OK
14.235,TraderOne,Tick,167,160,7,-7,146900,147200,-836,-60464,-61864,OK
14.235,Trader1,Tick,120,10,110,0,146900,147200,3813,-16111813,58187,BREACH
14.235,Trader2,Tick,170,160,10,-10,146900,147200,1320,-9320,-11320,OK
14.516,TraderOne,Tick,167,170,-3,3,146800,147200,-983,-64317,-63717,OK
14.516,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
14.516,Trader2,Tick,180,160,20,-20,146800,147200,1614,-7614,-11614,OK
14.75,TraderOne,Tick,167,170,-3,3,146800,147200,-983,-64317,-63717,OK
14.75,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
14.75,Trader2,Tick,180,160,20,-20,146800,147200,1614,-7614,-11614,OK
15.016,TraderOne,Tick,187,170,17,-17,146900,147200,-836,-63464,-66864,OK
15.016,Trader1,Tick,120,10,110,0,146900,147200,3813,-16111813,58187,BREACH
15.016,Trader2,Tick,180,170,10,-10,146900,147200,1908,-10908,-12908,OK
15.266,TraderOne,Tick,187,180,7,-7,146800,147200,-542,-66758,-68158,OK
15.266,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
15.266,Trader2,Tick,190,170,20,-20,146800,147200,1761,-9761,-13761,OK
15.547,TraderOne,Tick,187,180,7,-7,146900,146800,-542,-66758,-66058,OK
15.547,Trader1,Tick,120,10,110,0,146900,146800,3813,-16111813,47187,BREACH
15.547,Trader2,Tick,190,180,10,-10,146900,146800,1614,-11614,-10614,OK
15.75,TraderOne,Tick,187,180,7,-7,146900,146800,-542,-66758,-66058,OK
15.75,Trader1,Tick,120,10,110,0,146900,146800,3813,-16111813,47187,BREACH
15.75,Trader2,Tick,190,180,10,-10,146900,146800,1614,-11614,-10614,OK
15.985,TraderOne,Tick,187,182,5,-5,146800,146900,-571,-67329,-67829,OK
15.985,Trader1,Tick,120,10,110,0,146800,146900,3813,-16111813,36187,BREACH
15.985,Trader2,Tick,190,190,0,0,146800,146900,1467,-14467,-14467,OK
16.297,TraderOne,Tick,187,182,5,-5,146800,146900,-571,-67329,-67829,OK
16.297,Trader1,Tick,120,10,110,0,146800,146900,3813,-16111813,36187,BREACH
16.297,Trader2,Tick,190,190,0,0,146800,146900,1467,-14467,-14467,OK
16.5,TraderOne,Tick,187,182,5,-5,146800,146900,-571,-67329,-67829,OK
16.5,Trader1,Tick,120,10,110,0,146800,146900,3813,-16111813,36187,BREACH
16.5,Trader2,Tick,190,190,0,0,146800,146900,1467,-14467,-14467,OK
16.782,TraderOne,Tick,187,190,-3,3,146800,146900,-688,-68812,-68512,OK
16.782,Trader1,Tick,120,10,110,0,146800,146900,3813,-16111813,36187,BREACH
16.782,Trader2,Tick,198,190,8,-8,146800,146900,1702,-14702,-15502,OK
16.969,TraderOne,Tick,197,190,7,-7,146900,146900,-394,-70106,-70106,OK
16.969,Trader1,Tick,120,10,110,0,146900,146900,3813,-16111813,47187,BREACH
16.969,Trader2,Tick,198,190,8,-8,146900,146900,1702,-14702,-14702,OK
17.297,TraderOne,Tick,197,190,7,-7,146900,146900,-394,-70106,-70106,OK
17.297,Trader1,Tick,120,10,110,0,146900,146900,3813,-16111813,47187,BREACH
17.297,Trader2,Tick,198,190,8,-8,146900,146900,1702,-14702,-14702,OK
17.485,TraderOne,Tick,197,190,7,-7,146900,146900,-394,-70106,-70106,OK
17.485,Trader1,Tick,120,10,110,0,146900,146900,3813,-16111813,47187,BREACH
17.485,Trader2,Tick,198,190,8,-8,146900,146900,1702,-14702,-14702,OK
17.719,TraderOne,Tick,197,190,7,-7,146900,146900,-394,-70106,-70106,OK
17.719,Trader1,Tick,120,10,110,0,146900,146900,3813,-16111813,47187,BREACH
17.719,Trader2,Tick,208,190,18,-18,146900,146900,1996,-13996,-13996,OK
18.0,TraderOne,Tick,207,190,17,-17,146600,146900,-541,-67959,-71359,OK
18.0,Trader1,Tick,120,10,110,0,146600,146900,3813,-16111813,25187,BREACH
18.0,Trader2,Tick,218,190,28,-28,146600,146900,2290,-13290,-18890,OK
18.266,TraderOne,Tick,207,200,7,-7,146800,146900,-247,-71253,-71953,OK
18.266,Trader1,Tick,120,10,110,0,146800,146900,3813,-16111813,36187,BREACH
18.266,Trader2,Tick,228,190,38,-38,146800,146900,2143,-11143,-14943,OK
18.532,TraderOne,Tick,207,200,7,-7,146800,147100,-247,-71253,-72653,OK
18.532,Trader1,Tick,120,10,110,0,146800,147100,3813,-16111813,47187,BREACH
18.532,Trader2,Tick,228,190,38,-38,146800,147100,2143,-11143,-18743,OK
18.75,TraderOne,Tick,207,200,7,-7,146800,147100,-247,-71253,-72653,OK
18.75,Trader1,Tick,120,10,110,0,146800,147100,3813,-16111813,47187,BREACH
18.75,Trader2,Tick,228,190,38,-38,146800,147100,2143,-11143,-18743,OK
19.047,TraderOne,Tick,207,200,7,-7,146800,147100,-247,-71253,-72653,OK
19.047,Trader1,Tick,120,10,110,0,146800,147100,3813,-16111813,47187,BREACH
19.047,Trader2,Tick,228,190,38,-38,146800,147100,2143,-11143,-18743,OK
19.219,TraderOne,Tick,207,200,7,-7,146800,147100,-247,-71253,-72653,OK
19.219,Trader1,Tick,120,10,110,0,146800,147100,3813,-16111813,47187,BREACH
19.219,Trader2,Tick,228,190,38,-38,146800,147100,2143,-11143,-18743,OK
19.547,TraderOne,Tick,207,200,7,-7,146800,147200,-247,-71253,-72653,OK
19.547,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
19.547,Trader2,Tick,228,190,38,-38,146800,147200,2143,-11143,-18743,OK
19.704,TraderOne,Tick,207,210,-3,3,146800,147200,-394,-75106,-74506,OK
19.704,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
19.704,Trader2,Tick,238,190,48,-48,146800,147200,2437,-8437,-18037,OK
19.969,TraderOne,Tick,217,210,7,-7,146800,147200,-100,-72400,-73800,OK
19.969,Trader1,Tick,120,10,110,0,146800,147200,3813,-16111813,58187,BREACH
19.969,Trader2,Tick,238,200,38,-38,146800,147200,2290,-12290,-19890,OK
20.313,TraderOne,Tick,217,210,7,-7,146900,147200,-100,-72400,-73800,OK
20.313,Trader1,Tick,120,10,110,0,146900,147200,3813,-16111813,58187,BREACH
20.313,Trader2,Tick,248,200,48,-48,146900,147200,2584,-9584,-19184,OK
20.485,TraderOne,Tick,217,220,-3,3,147000,147900,-247,-79253,-78653,OK
20.485,Trader1,Tick,120,10,110,0,147000,147900,3813,-16111813,135187,BREACH
20.485,Trader2,Tick,258,200,58,-58,147000,147900,2878,-5878,-17478,OK
20.797,TraderOne,Tick,227,230,-3,3,147500,147900,-100,-80400,-79800,OK
20.797,Trader1,Tick,120,10,110,0,147500,147900,3813,-16111813,135187,BREACH
20.797,Trader2,Tick,268,210,58,-58,147500,147900,3025,-3025,-14625,OK
20.985,TraderOne,Tick,237,230,7,-7,147700,147900,195,-78495,-79895,OK
20.985,Trader1,Tick,120,10,110,0,147700,147900,3813,-16111813,135187,BREACH
20.985,Trader2,Tick,268,220,48,-48,147700,147900,3143,-6943,-16543,OK
21.219,TraderOne,Tick,237,230,7,-7,147700,147900,195,-78495,-79895,OK
21.219,Trader1,Tick,120,10,110,0,147700,147900,3813,-16111813,135187,BREACH
21.219,Trader2,Tick,268,220,48,-48,147700,147900,3143,-6943,-16543,OK
21.547,TraderOne,Tick,237,240,-3,3,147500,147900,490,-83790,-83190,OK
21.547,Trader1,Tick,120,10,110,0,147500,147900,3813,-16111813,135187,BREACH
21.547,Trader2,Tick,278,220,58,-58,147500,147900,2995,-2795,-14395,OK
21.75,TraderOne,Tick,247,240,7,-7,147500,147900,785,-80085,-81485,OK
21.75,Trader1,Tick,120,10,110,0,147500,147900,3813,-16111813,135187,BREACH
21.75,Trader2,Tick,278,230,48,-48,147500,147900,2847,-7647,-17247,OK
22.016,TraderOne,Tick,247,240,7,-7,147500,148000,785,-80085,-81485,OK
22.016,Trader1,Tick,120,10,110,0,147500,148000,3813,-16111813,146187,BREACH
22.016,Trader2,Tick,278,230,48,-48,147500,148000,2847,-7647,-17247,OK
22.266,TraderOne,Tick,247,250,-3,3,147600,148000,1080,-85380,-84780,OK
22.266,Trader1,Tick,120,10,110,0,147600,148000,3813,-16111813,146187,BREACH
22.266,Trader2,Tick,288,230,58,-58,147600,148000,2699,-4499,-16099,OK
22.547,TraderOne,Tick,257,250,7,-7,147600,148100,1375,-81675,-83075,OK
22.547,Trader1,Tick,120,10,110,0,147600,148100,3813,-16111813,157187,BREACH
22.547,Trader2,Tick,288,240,48,-48,147600,148100,2551,-9351,-18951,OK
22.735,TraderOne,Tick,257,250,7,-7,147600,148200,1375,-81675,-83075,OK
22.735,Trader1,Tick,120,10,110,0,147600,148200,3813,-16111813,168187,BREACH
22.735,Trader2,Tick,288,240,48,-48,147600,148200,2551,-9351,-18951,OK
23.032,TraderOne,Tick,257,250,7,-7,147700,148000,1375,-81675,-83075,OK
23.032,Trader1,Tick,120,10,110,0,147700,148000,3813,-16111813,146187,BREACH
23.032,Trader2,Tick,298,240,58,-58,147700,148000,2846,-6646,-18246,OK
23.25,TraderOne,Tick,267,250,17,-17,147600,148000,1227,-79527,-82927,OK
23.25,Trader1,Tick,120,10,110,0,147600,148000,3813,-16111813,146187,BREACH
23.25,Trader2,Tick,298,250,48,-48,147600,148000,3141,-11941,-21541,OK
23.516,TraderOne,Tick,267,250,17,-17,147400,147700,1227,-79527,-82927,OK
23.516,Trader1,Tick,120,10,110,0,147400,147700,3813,-16111813,113187,BREACH
23.516,Trader2,Tick,298,260,38,-38,147400,147700,3436,-15236,-22836,OK
23.735,TraderOne,Tick,267,250,17,-17,147400,147700,1227,-79527,-82927,OK
23.735,Trader1,Tick,120,10,110,0,147400,147700,3813,-16111813,113187,BREACH
23.735,Trader2,Tick,298,260,38,-38,147400,147700,3436,-15236,-22836,OK
23.985,TraderOne,Tick,267,260,7,-7,147300,147700,1522,-84822,-86222,OK
23.985,Trader1,Tick,120,10,110,0,147300,147700,3813,-16111813,113187,BREACH
23.985,Trader2,Tick,308,260,48,-48,147300,147700,3289,-12089,-21689,OK
24.266,TraderOne,Tick,267,260,7,-7,147300,147700,1522,-84822,-86222,OK
24.266,Trader1,Tick,120,10,110,0,147300,147700,3813,-16111813,113187,BREACH
24.266,Trader2,Tick,308,260,48,-48,147300,147700,3289,-12089,-21689,OK
24.469,TraderOne,Tick,267,260,7,-7,147400,147700,1522,-84822,-86222,OK
24.469,Trader1,Tick,120,10,110,0,147400,147700,3813,-16111813,113187,BREACH
24.469,Trader2,Tick,318,260,58,-58,147400,147700,3584,-8384,-19984,OK
24.766,TraderOne,Tick,267,270,-3,3,147400,148100,1375,-91675,-91075,OK
24.766,Trader1,Tick,120,10,110,0,147400,148100,3813,-16111813,157187,BREACH
24.766,Trader2,Tick,318,260,58,-58,147400,148100,3584,-8384,-19984,OK
25.0,TraderOne,Tick,267,280,-13,13,147600,148100,1670,-98970,-96370,OK
25.0,Trader1,Tick,120,10,110,0,147600,148100,3813,-16111813,157187,BREACH
25.0,Trader2,Tick,328,260,68,-68,147600,148100,3436,-3236,-16836,OK
25.282,TraderOne,Tick,277,280,-3,3,147700,148200,1965,-94265,-93665,OK
25.282,Trader1,Tick,120,10,110,0,147700,148200,3813,-16111813,168187,BREACH
25.282,Trader2,Tick,328,260,68,-68,147700,148200,3436,-3236,-16836,OK
25.563,TraderOne,Tick,287,280,7,-7,147700,147900,2260,-91560,-92960,OK
25.563,Trader1,Tick,120,10,110,0,147700,147900,3813,-16111813,135187,BREACH
25.563,Trader2,Tick,328,270,58,-58,147700,147900,3731,-9531,-21131,OK
25.766,TraderOne,Tick,287,280,7,-7,147600,147900,2260,-91560,-92960,OK
25.766,Trader1,Tick,120,10,110,0,147600,147900,3813,-16111813,135187,BREACH
25.766,Trader2,Tick,328,277,51,-51,147600,147900,3628,-12928,-23128,OK
26.063,TraderOne,Tick,287,280,7,-7,147600,147900,2260,-91560,-92960,OK
26.063,Trader1,Tick,120,10,110,0,147600,147900,3813,-16111813,135187,BREACH
26.063,Trader2,Tick,328,277,51,-51,147600,147900,3628,-12928,-23128,OK
26.297,TraderOne,Tick,287,280,7,-7,147600,147900,2260,-91560,-92960,OK
26.297,Trader1,Tick,120,10,110,0,147600,147900,3813,-16111813,135187,BREACH
26.297,Trader2,Tick,328,277,51,-51,147600,147900,3628,-12928,-23128,OK
26.485,TraderOne,Tick,297,280,17,-17,147400,147900,2112,-87412,-90812,OK
26.485,Trader1,Tick,120,10,110,0,147400,147900,3813,-16111813,135187,BREACH
26.485,Trader2,Tick,328,287,41,-41,147400,147900,3923,-19223,-27423,OK
26.75,TraderOne,Tick,297,290,7,-7,147500,147900,2407,-93707,-95107,OK
26.75,Trader1,Tick,120,10,110,0,147500,147900,3813,-16111813,135187,BREACH
26.75,Trader2,Tick,338,287,51,-51,147500,147900,3775,-15075,-25275,OK
26.985,TraderOne,Tick,297,290,7,-7,147500,147900,2407,-93707,-95107,OK
26.985,Trader1,Tick,120,10,110,0,147500,147900,3813,-16111813,135187,BREACH
26.985,Trader2,Tick,338,287,51,-51,147500,147900,3775,-15075,-25275,OK
27.266,TraderOne,Tick,301,290,11,-11,147400,147900,2348,-91648,-93848,OK
27.266,Trader1,Tick,120,10,110,0,147400,147900,3813,-16111813,135187,BREACH
27.266,Trader2,Tick,348,287,61,-61,147400,147900,3628,-9928,-22128,OK
